1871,3,3,Friday,DWR_1871_03-4.jpg
CHRISTIANSUND,29.89,47, NaN,
SKUDDESNAES,30.15,39, NaN,
THURSO,29.96,51,0.02,
WICK,30.01,50,0.05,
OXO,30.17,35, NaN,
NAIRN,30.02,51,0.04,
ABERDEEN,30.11,49,0,
LEITH,30.14,45,0.01,
ARDROSSAN,30.17,44,0.24,
GREENCASTLE,30.08,49,0.07,
SHIELDS,30.21,47,0,
SCARBOROUGH,30.26,47,0,
LIVERPOOL,30.21,45,0,
HOLYHEAD,30.18,46,0,
HELDER,30.38,33, NaN,
YARMOUTH,30.35,39,0,
VALENTIA,30.01,51,0.01,
ROCHESPOINT,30.09,48,0,
PEMBROKE,30.18,44,0,
LONDON,30.33,36,0,
DOVER,30.34,38,0,
CAPGRISNEZ,30.33,44,0,
PORTSMOUTH,30.32,42,0,
PLYMOUTH,30.21,48,0,
PENZANCE,999,49,0,
SCILLY,30.12,49,0,
BREST,999,49,0,
LORIENT,999,999,999,
ROCHEFORT,999,999,999,
BIARRITZ,999,999,999,
