1863,7,8,Wednesday,DWR_1863_07-6.jpg
NAIRN,29.96,62,4,0
ABERDEEN,29.97,64,5,0
LEITH,30.02,65,5,0
SHIELDS,30.09,63,4,0
SCARBOROUGH,30.06,63,3,0
GREENCASTLE,30.08,60,4,0.15
GALWAY,30.17,61,0,0
VALENTIA,30.26,62,2,0.09
QUEENSTOWN,30.24,65,2,0
LIVERPOOL,30.15,61,3,0.01
HOLYHEAD,30.12,59,1,0
PEMBROKE,30.21,60,1,0.13
PENZANCE,30.28,62,1,0
BREST,30.28,61,4,0
LORIENT,30.24,61,3,0
ROCHEFORT,30.28,61,4,0
PLYMOUTH,30.24,64,4,0
WEYMOUTH,30.22,62,4,0
PORTSMOUTH,30.19,63,4,0
LONDON,30.18,63,4,0
DOVER,30.19,999,999,0
YARMOUTH,30.1,63,4,0
HELDER,30.06,63,999,0
HELIGOLAND,30.08,62,3,0
