1863,7,11,Saturday,DWR_1863_07-9.jpg
NAIRN,30.39,65,4,0
ABERDEEN,30.41,63,4,0
LEITH,30.4,67,5,0
SHIELDS,30.45,67,5,0
SCARBOROUGH,30.4,67,4,0
GREENCASTLE,30.45,63,3,0
GALWAY,30.46,61,1,0
VALENTIA,30.47,63,2,0
QUEENSTOWN,30.42,65,1,0
LIVERPOOL,30.42,67,4,0
HOLYHEAD,30.39,62,2,0
PEMBROKE,30.4,68,3,0
PENZANCE,30.42,66,2,0
BREST,30.32,66,5,0
LORIENT,30.24,66,4,0
ROCHEFORT,30.2,70,5,0
PLYMOUTH,30.39,69,5,0
WEYMOUTH,30.39,68,5,0
PORTSMOUTH,30.36,68,8,0
LONDON,30.4,67,7,0
DOVER,30.4,68,4,0
YARMOUTH,30.42,60,3,0
HELDER,30.4,66,999,0
HELIGOLAND,30.39,63,2,0
