1862,3,8,Saturday,DWR_1862_03-6.jpg
NAIRN,29.4,36,35,0.92
ABERDEEN,29.46,40,39,0.25
LEITH,29.47,47,45,0
BERWICK,29.46,46,44,0.17
ARDROSSAN,29.44,45,42,0.35
PORTRUSH,29.37,46,44,0
GALWAY,29.34,49,48,0
SHIELDS,29.53,47,45,0
SCARBOROUGH,29.58,47,46,0.3
HELIGOLAND,29.72,43,42,0
LIVERPOOL,29.5,49,48,0.01
QUEENSTOWN,29.32,52,51,0
VALENTIA,29.24,50,49,1.16
YARMOUTH,29.71,49,48,0
LONDON,29.71,51,49,0
DOVER,29.71,52,50,0
PORTSMOUTH,29.69,47,46,0
PORTLAND,29.63,49,47,0.12
PLYMOUTH,29.53,50,49,0
PENZANCE,29.48,50,49,0
COPENHAGEN,29.32,42,999,0
HELDER,29.75,44,999,0
BREST,29.47,51,999,0
BAYONNE,999,999,999,0
LISBON,29.98,55,999,0
