1862,9,9,Tuesday,DWR_1862_09-7.jpg
NAIRN,29.92,51,49,0
ABERDEEN,29.95,50,47,0
LEITH,29.99,55,54,0.47
BERWICK,30.03,55,51,0
ARDROSSAN,29.98,55,52,0
PORTRUSH,30.03,59,55,0
GALWAY,30.1,56,54,0
VALENTIA,30.12,58,55,0
QUEENSTOWN,30.08,55,54,0.07
HOLYHEAD,30.07,55,52,0
LIVERPOOL,30.1,58,55,0
PEMBROKE,30.1,61,60,0
PENZANCE,30.14,60,59,0
PLYMOUTH,30.14,61,59,0
JERSEY,30.17,60,59,0.09
WEYMOUTH,30.13,63,59,0.07
PORTSMOUTH,30.09,62,59,0
DOVER,30.09,62,60,0
LONDON,30.12,61,59,0
YARMOUTH,30.08,60,58,0
SCARBOROUGH,30.07,57,54,0
SHIELDS,30.05,54,51,0
HELIGOLAND,30.05,59,57,0
HELDER,30.06,63,999,0
COPENHAGEN,30.04,46,999,0
BREST,30.17,59,999,0
BAYONNE,999,60,999,0
LISBON,999,999,999,999
