1862,1,1,Wednesday,DWR_1862_01-0.jpg
NAIRN,30.43,41,40,999
ABERDEEN,30.43,41,40,999
LEITH,30.42,40,39,999
BERWICK,30.34,41,39,999
ARDROSSAN,30.44,33,32,999
PORTRUSH,30.47,43,999,999
SHIELDS,30.41,38,36,999
GALWAY,30.59,34,32,999
SCARBOROUGH,30.38,39,38,999
LIVERPOOL,30.44,30,999,999
VALENTIA,30.45,34,33,999
QUEENSTOWN,30.42,42,41,999
YARMOUTH,30.37,35,34,999
LONDON,30.4,35,33,999
DOVER,30.37,31,999,999
PORTSMOUTH,30.42,35,34,999
PORTLAND,30.4,36,34,999
PLYMOUTH,30.33,36,35,999
PENZANCE,30.37,39,37,999
COPENHAGEN,29.98,34,999,999
HELDER,30.26,44,999,999
BREST,30.25,29,999,999
BAYONNE,30.07,44,999,999
LISBON,999,999,999,999
