1861,12,10,Tuesday,DWR_1861_12-9.jpg
NAIRN,29.54,43,42,999
ABERDEEN,29.65,45,44,999
LEITH,29.56,47,45,999
BERWICK,29.64,43,42,999
ARDROSSAN,29.49,47,46,999
PORTRUSH,29.41,45,44,999
SHIELDS,29.7,46,45,999
GALWAY,29.46,43,41,999
SCARBOROUGH,29.77,46,45,999
LIVERPOOL,29.64,51,50,999
VALENTIA,29.5,47,43,999
QUEENSTOWN,29.66,44,43,999
YARMOUTH,29.86,47,46,999
LONDON,29.86,50,49,999
DOVER,29.86,52,51,999
PORTSMOUTH,29.86,50,49,999
PORTLAND,29.77,53,52,999
PLYMOUTH,29.65,54,53,999
PENZANCE,29.68,51,50,0.5
COPENHAGEN,30.08,42,999,999
HELDER,30,41,999,999
BREST,29.74,55,999,999
BAYONNE,29.98,57,999,999
LISBON,30.09,61,999,999
