1862,11,8,Saturday,DWR_1862_11-7.jpg
NAIRN,29.93,43,4,0.11
ABERDEEN,30,40,2,0
LEITH,30.09,45,999,0
BERWICK,30.21,42,2,0
ARDROSSAN,30.06,47,999,0.07
PORTRUSH,30.14,45,3,0
GALWAY,30.21,48,2,0
VALENTIA,30.32,48,2,0.07
QUEENSTOWN,30.3,41,1,0
HOLYHEAD,30.24,44,2,0
LIVERPOOL,30.31,46,2,0
PEMBROKE,30.38,43,2,0
PENZANCE,30.44,40,1,0
PLYMOUTH,30.43,36,1,0
JERSEY,30.41,43,2,0
WEYMOUTH,30.39,39,1,0
PORTSMOUTH,30.36,39,2,0
DOVER,30.33,39,0,0
LONDON,30.36,35,1,0
YARMOUTH,30.3,40,2,0
SCARBOROUGH,30.23,40,1,0
SHIELDS,30.23,38,2,0
HELIGOLAND,30.19,44,999,0.8
HELDER,30.2,51,999,0
COPENHAGEN,999,999,999,999
BREST,30.41,40,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,52,999,0
LISBON,30.2,60,999,0
