1862,9,26,Friday,DWR_1862_09-24.jpg
NAIRN,29.8,50,49,0.15
ABERDEEN,29.82,55,54,0
LEITH,29.78,55,54,0
BERWICK,29.83,54,50,0
ARDROSSAN,29.72,56,55,0.17
PORTRUSH,29.81,59,56,0
GALWAY,29.68,58,57,0.18
VALENTIA,29.75,58,56,0.46
QUEENSTOWN,29.74,59,57,0.52
HOLYHEAD,29.74,60,58,0
LIVERPOOL,29.83,58,57,0.02
PEMBROKE,29.81,59,58,0.14
PENZANCE,29.9,60,59,0.15
PLYMOUTH,29.88,62,60,0.12
JERSEY,29.99,62,60,0
WEYMOUTH,29.91,61,60,0.08
PORTSMOUTH,29.92,62,59,0
DOVER,29.95,999,999,0
YARMOUTH,29.95,58,58,0.01
LONDON,29.93,60,55,0
SCARBOROUGH,29.87,55,54,0.15
SHIELDS,29.85,55,53,0
HELIGOLAND,29.91,57,56,0
HELDER,29.93,61,999,0
COPENHAGEN,29.99,52,999,0
BREST,29.91,61,999,0
BAYONNE,999,66,999,0
LISBON,30.06,64,999,0
