1862,4,17,Thursday,DWR_1862_04-14.jpg
NAIRN,29.42,44,41,0.18
ABERDEEN,29.43,41,39,0.12
LEITH,29.54,45,42,0
BERWICK,29.56,47,43,0
ARDROSSAN,29.58,43,41,0.45
PORTRUSH,29.64,44,42,0
GALWAY,29.83,50,47,0
SHIELDS,29.65,45,41,0
SCARBOROUGH,29.7,46,42,0
HELIGOLAND,29.64,43,42,0.5
LIVERPOOL,29.81,47,43,0
QUEENSTOWN,29.92,48,47,0
VALENTIA,29.95,48,46,0.32
YARMOUTH,29.79,47,44,0
LONDON,29.86,47,43,0.05
DOVER,29.87,52,51,0
PORTSMOUTH,29.88,50,47,0.07
PORTLAND,29.93,51,47,0.07
PLYMOUTH,29.93,49,45,0.11
PENZANCE,30.03,50,49,0.32
JERSEY,30.04,49,47,0.09
COPENHAGEN,999,999,999,999
HELDER,29.74,44,999,0
BREST,30.07,50,999,0
BAYONNE,999,46,999,0
LISBON,30.05,56,999,0
