1862,3,11,Tuesday,DWR_1862_03-8.jpg
NAIRN,29.62,42,41,0
ABERDEEN,29.71,43,42,0
LEITH,29.65,44,42,0
BERWICK,29.71,44,42,0
ARDROSSAN,29.63,44,43,0.53
PORTRUSH,29.58,45,42,0
GALWAY,29.65,51,50,0
SHIELDS,29.73,45,43,0
SCARBOROUGH,29.79,43,42,0
HELIGOLAND,30.1,45,44,0
LIVERPOOL,29.69,47,46,0.13
QUEENSTOWN,29.75,56,54,0
VALENTIA,29.71,52,51,0.54
YARMOUTH,29.97,44,43,0
LONDON,29.9,46,45,999
DOVER,29.97,47,46,0
PORTSMOUTH,29.87,47,46,0.33
PORTLAND,29.85,49,48,0.42
PLYMOUTH,29.81,51,50,0
PENZANCE,?29.79,52,51,0.45
COPENHAGEN,999,999,999,999
HELDER,30.06,44,999,0
BREST,29.93,51,999,0
BAYONNE,999,50,999,0
LISBON,30.37,56,999,0
