1863,9,1,Tuesday,DWR_1863_09-0.jpg
NAIRN,29.81,50,2,0.13
ABERDEEN,29.82,52,0,0.25
LEITH,29.88,57,3,0
SHIELDS,29.98,56,5,0
SCARBOROUGH,29.91,56,3,0
GREENCASTLE,29.92,54,2,0
GALWAY,30.03,58,1,0
VALENTIA,30.1,56,1,0
QUEENSTOWN,999,56,2,0
LIVERPOOL,30.05,57,5,0
HOLYHEAD,30.02,57,3,0
PEMBROKE,30.12,55,2,0.08
PENZANCE,30.18,57,2,0
BREST,30.2,55,2,0
LORIENT,30.16,52,2,0
ROCHEFORT,30.24,55,1,0
PLYMOUTH,30.15,58,3,0
WEYMOUTH,30.13,58,4,0
PORTSMOUTH,29.97,58,4,0
LONDON,30.09,53,4,0.03
DOVER,30.11,999,999,0
YARMOUTH,30.03,53,2,0
HELIGOLAND,30,59,1,0
