1863,4,21,Tuesday,DWR_1863_04-17.jpg
NAIRN,29.52,45,4,0
ABERDEEN,29.57,46,5,0
LEITH,29.6,43,7,0
ARDROSSAN,29.56,45,2,0.33
PORTRUSH,29.56,43,1,0
GALWAY,29.65,50,0,0.4
VALENTIA,29.81,52,2,0.07
QUEENSTOWN,29.81,53,1,0
HOLYHEAD,29.73,50,2,0
LIVERPOOL,29.78,50,4,0
PEMBROKE,29.86,51,2,0
PENZANCE,29.97,52,1,0
BREST,30.08,52,3,0
LORIENT,30,48,2,0
ROCHEFORT,30.08,50,2,0
PLYMOUTH,29.94,54,3,0
WEYMOUTH,29.92,52,3,0
PORTSMOUTH,29.91,53,4,0
KEW,29.93,49,3,0
LONDON,29.91,50,4,0
DOVER,29.89,51,4,0
YARMOUTH,29.83,49,3,0
SCARBOROUGH,29.73,48,2,0
SHIELDS,29.71,48,5,0
HELIGOLAND,29.73,47,1,0
COPENHAGEN,29.69,52,999,0
HELDER,29.89,50,999,0
LISBON,29.98,63,999,0
