1863,9,30,Wednesday,DWR_1863_09-25.jpg
NAIRN,29.62,43,2,0
ABERDEEN,29.67,52,3,0
LEITH,29.69,53,4,0.07
SHIELDS,29.84,52,3,0
SCARBOROUGH,29.87,48,2,0
GREENCASTLE,29.62,50,2,0.18
GALWAY,29.54,52,1,0.15
VALENTIA,29.49,54,1,0.36
QUEENSTOWN,29.47,53,1,0.12
LIVERPOOL,29.85,49,2,0
HOLYHEAD,29.73,52,2,0
PEMBROKE,29.8,54,2,0
PENZANCE,29.79,55,1,0.15
BREST,29.8,54,1,0
LORIENT,29.8,50,2,0
ROCHEFORT,29.88,55,2,0.12
PLYMOUTH,29.84,55,1,0
WEYMOUTH,29.89,56,6,0
PORTSMOUTH,29.89,51,3,0
LONDON,29.94,43,2,0
DOVER,29.93,999,999,0
YARMOUTH,29.96,49,2,0
HELIGOLAND,30.03,53,2,0
