1862,6,12,Thursday,DWR_1862_06-11.jpg
NAIRN,29.26,51,50,0
ABERDEEN,29.28,51,50,0
LEITH,29.21,58,55,0
BERWICK,?29.11,56,52,0.28
ARDROSSAN,29.13,56,54,0.22
PORTRUSH,29.14,54,52,0
GALWAY,29.07,63,60,0
SHIELDS,29.29,56,53,0
SCARBOROUGH,29.35,58,55,0.36
HELIGOLAND,29.59,67,61,0.15
LIVERPOOL,29.3,57,53,0.01
QUEENSTOWN,29.07,56,55,0.25
VALENTIA,29.07,55,54,0.44
YARMOUTH,29.5,58,54,1.23
LONDON,29.49,56,54,0.17
DOVER,29.57,61,60,0
PORTSMOUTH,29.46,55,54,0.31
PORTLAND,29.39,55,54,0.23
PLYMOUTH,29.24,55,54,0.56
PENZANCE,29.2,56,55,0.45
JERSEY,29.52,55,54,0.33
COPENHAGEN,29.56,53,999,0
HELDER,29.59,59,999,0
BREST,29.37,54,999,0
BAYONNE,999,70,999,0
LISBON,30.04,66,999,0
