1862,5,23,Friday,DWR_1862_05-21.jpg
NAIRN,29.46,53,48,0
ABERDEEN,29.51,50,47,0
LEITH,29.48,53,51,0
BERWICK,29.53,52,50,0
ARDROSSAN,29.43,53,50,0.14
PORTRUSH,29.46,53,52,0
GALWAY,29.62,57,54,0
SHIELDS,29.54,52,50,0
SCARBOROUGH,29.58,52,51,0.35
HELIGOLAND,29.85,54,51,0
LIVERPOOL,29.61,56,54,0.03
QUEENSTOWN,29.65,59,?57,0
VALENTIA,29.7,52,51,999
YARMOUTH,29.74,52,50,0
LONDON,29.78,54,52,0.02
DOVER,29.82,55,52,0
PORTSMOUTH,29.8,53,52,0
PORTLAND,29.79,55,54,0.13
PLYMOUTH,29.85,57,56,0.28
PENZANCE,29.81,56,55,0.5
JERSEY,29.93,56,53,0
COPENHAGEN,29.83,54,999,0
HELDER,29.84,52,999,0
BREST,29.9,56,999,0
BAYONNE,999,65,999,0
LISBON,999,999,999,999
