1862,3,19,Wednesday,DWR_1862_03-14.jpg
NAIRN,29.89,37,33,0.19
ABERDEEN,29.83,39,35,0
LEITH,29.79,39,38,0
BERWICK,29.8,43,41,0
ARDROSSAN,29.82,40,38,0
PORTRUSH,29.79,43,42,0
GALWAY,29.82,43,42,0
SHIELDS,29.75,41,39,0
SCARBOROUGH,29.71,47,45,0.29
HELIGOLAND,29.62,42,41,0.15
LIVERPOOL,29.73,42,39,0
QUEENSTOWN,29.67,45,44,0
VALENTIA,29.65,46,45,0
YARMOUTH,29.64,43,42,0
LONDON,29.65,43,41,0.01
DOVER,29.64,44,42,0
PORTSMOUTH,29.62,40,39,0
PORTLAND,29.64,40,39,0
PLYMOUTH,29.57,44,42,0
PENZANCE,29.6,46,44,0
JERSEY,29.58,46,45,0
COPENHAGEN,999,999,999,999
HELDER,29.64,42,999,0
BREST,29.47,46,999,0
BAYONNE,999,55,999,0
LISBON,29.61,56,999,0
