1863,2,18,Wednesday,DWR_1863_02-14.jpg
NAIRN,30.25,43,2,0.09
ABERDEEN,30.26,46,2,0
LEITH,30.3,46,1,0
ARDROSSAN,30.35,45,999,0.17
PORTRUSH,30.34,38,1,0
GALWAY,30.38,48,0,0.25
VALENTIA,30.43,50,0,0.15
QUEENSTOWN,30.46,51,1,0
HOLYHEAD,30.42,46,1,0
LIVERPOOL,30.44,44,2,0
PEMBROKE,30.54,46,3,0
PENZANCE,30.57,38,1,0
JERSEY,999,999,999,999
BREST,30.55,32,3,0
LORIENT,30.51,34,1,0
ROCHEFORT,30.47,32,2,0
PLYMOUTH,30.58,39,1,0
WEYMOUTH,30.56,34,1,0
PORTSMOUTH,30.53,36,1,0
KEW,30.56,28,999,0
LONDON,30.55,29,999,0
YARMOUTH,30.49,35,2,0
SCARBOROUGH,30.39,40,2,0
SHIELDS,30.37,46,9,0
HELIGOLAND,30.37,41,0,0
COPENHAGEN,30.14,37,999,0
HELDER,30.47,41,999,0
BAYONNE,999,39,999,0
OPORTO,999,999,999,999
LISBON,30.37,47,999,0
