1863,1,22,Thursday,DWR_1863_01-19.jpg
NAIRN,29.1,43,1,0.3
ABERDEEN,29.15,42,2,0.45
LEITH,29.22,48,2,0
ARDROSSAN,29.32,46,1,0.5
PORTRUSH,29.29,42,999,0
GALWAY,29.73,50,1,999
VALENTIA,999,999,999,999
QUEENSTOWN,29.6,50,1,0.47
HOLYHEAD,29.53,43,1,0.1
LIVERPOOL,29.58,48,2,0.06
PEMBROKE,29.71,49,1,0.25
PENZANCE,29.86,50,1,0.15
BREST,29.99,48,1,0.04
JERSEY,29.97,48,1,0.07
LORIENT,30,50,2,0
ROCHEFORT,30.14,46,2,0
PLYMOUTH,29.86,49,1,0.12
WEYMOUTH,29.85,49,1,0.23
PORTSMOUTH,29.82,49,2,0.08
KEW,29.8,48,2,0
LONDON,29.77,48,2,0.04
YARMOUTH,29.68,45,1,0
SCARBOROUGH,29.48,46,1,0.32
SHIELDS,29.43,46,2,0
HELIGOLAND,29.69,41,1,0
COPENHAGEN,29.54,33,999,0
HELDER,29.69,43,999,0
BAYONNE,999,44,999,0
OPORTO,999,999,999,999
LISBON,30.17,45,999,0
