1861,12,24,Tuesday,DWR_1861_12-22.jpg
NAIRN,30.41,28,999,999
ABERDEEN,30.43,28,999,999
LEITH,30.41,35,33,999
BERWICK,?30.37,32,999,999
ARDROSSAN,30.41,31,999,999
PORTRUSH,30.37,40,39,999
SHIELDS,30.45,38,36,999
GALWAY,30.23,37,36,999
SCARBOROUGH,30.45,42,40,999
LIVERPOOL,30.4,41,38,999
VALENTIA,30.18,45,42,999
QUEENSTOWN,30.24,45,44,999
YARMOUTH,30.42,43,41,999
LONDON,30.38,42,40,999
DOVER,30.33,47,45,999
PORTSMOUTH,30.3,39,37,999
PORTLAND,30.24,39,36,999
PLYMOUTH,30.14,40,38,999
PENZANCE,30.16,46,45,999
COPENHAGEN,30.19,37,999,999
HELDER,30.41,41,999,999
BREST,30.07,33,999,999
BAYONNE,29.94,38,999,999
LISBON,999,999,999,999
