1863,12,10,Thursday,DWR_1863_12-8.jpg
NAIRN,29.6,41,3,0.13
ABERDEEN,29.71,40,3,0
LEITH,29.81,44,2,0
SHIELDS,29.96,48,4,0
SCARBOROUGH,29.99,44,1,0
GREENCASTLE,29.95,44,1,0.18
GALWAY,30.16,47,1,0.15
VALENTIA,30.26,48,2,0.1
CAPE CLEAR,30.28,45,1,0
QUEENSTOWN,30.16,46,1,0
LIVERPOOL,30.11,48,3,0
HOLYHEAD,30.11,48,0,0
PEMBROKE,30.24,49,2,0
PENZANCE,30.34,47,2,0
BREST,30.28,50,0,0.51
LORIENT,30.28,52,0,0.04
ROCHEFORT,30.39,45,0,0
PLYMOUTH,30.31,47,2,0
WEYMOUTH,30.3,46,3,0.19
PORTSMOUTH,30.27,47,3,0.29
LONDON,30.22,38,1,0.08
DOVER,30.26,42,2,0.7
YARMOUTH,30.15,39,1,0
HELIGOLAND,30.01,46,2,0
