1863,12,9,Wednesday,DWR_1863_12-7.jpg
NAIRN,29.69,39,3,0.15
ABERDEEN,29.78,39,1,0.6
LEITH,29.86,43,999,999
SHIELDS,29.97,43,4,0
SCARBOROUGH,29.99,39,2,0.5
GREENCASTLE,29.92,40,1,0.2
GALWAY,30.02,42,2,0.45
VALENTIA,30.08,44,2,0.37
CAPE CLEAR,30.08,43,1,0.1
QUEENSTOWN,29.98,42,1,0.51
LIVERPOOL,30.03,42,1,0.63
HOLYHEAD,30.02,45,0,0.55
PEMBROKE,30.05,46,1,0.45
PENZANCE,30.1,52,1,0.35
BREST,30.2,50,1,0
LORIENT,30.2,46,1,0
ROCHEFORT,30.32,39,0,0
PLYMOUTH,30.07,52,1,0.15
WEYMOUTH,30.06,52,1,0.08
PORTSMOUTH,30.08,51,1,0
LONDON,30.04,49,1,0.05
DOVER,30.11,50,1,0.16
YARMOUTH,30.01,48,1,0
HELIGOLAND,29.91,44,0,0.1
