1862,10,4,Saturday,DWR_1862_10-3.jpg
NAIRN,30.29,48,45,0
ABERDEEN,30.35,48,46,0
LEITH,30.37,55,50,0
BERWICK,30.39,57,52,0.35
ARDROSSAN,30.38,55,51,0
PORTRUSH,30.49,59,57,0
GALWAY,30.45,56,55,0.13
VALENTIA,30.45,60,59,0.19
QUEENSTOWN,30.45,60,59,0
HOLYHEAD,30.42,57,56,0
LIVERPOOL,30.42,60,59,0.11
PEMBROKE,30.45,58,57,0
PENZANCE,30.51,60,59,0
PLYMOUTH,30.49,61,58,0
JERSEY,30.51,58,56,0
WEYMOUTH,30.49,60,58,0
PORTSMOUTH,30.46,61,58,0
DOVER,30.45,60,57,0
LONDON,30.46,56,54,0
YARMOUTH,30.44,58,57,0
SCARBOROUGH,30.39,57,56,0
SHIELDS,30.39,57,54,0
HELIGOLAND,30.33,62,61,0
HELDER,30.39,62,999,0
COPENHAGEN,30.28,57,999,0
BREST,30.48,56,999,0
BAYONNE,999,59,999,0
LISBON,999,999,999,999
