1862,5,8,Thursday,DWR_1862_05-8.jpg
NAIRN,29.47,55,50,0
ABERDEEN,29.47,52,49,0.65
LEITH,29.53,56,50,0
BERWICK,29.59,52,48,0
ARDROSSAN,29.5,52,51,0.09
PORTRUSH,29.5,52,51,0
GALWAY,29.53,55,54,0
SHIELDS,29.6,51,48,0
SCARBOROUGH,29.63,53,50,0
HELIGOLAND,29.79,53,51,0
LIVERPOOL,29.6,54,50,0
QUEENSTOWN,29.58,55,54,0
VALENTIA,29.65,52,49,0.37
YARMOUTH,29.61,52,50,0
LONDON,29.69,50,48,0.8
DOVER,29.6,55,52,0.54
PORTSMOUTH,29.7,51,50,1.32
PORTLAND,29.7,55,53,0.15
PLYMOUTH,29.64,52,51,0.36
PENZANCE,29.69,53,52,0.47
JERSEY,29.82,55,52,0.33
COPENHAGEN,999,999,999,999
HELDER,29.73,56,999,0
BREST,29.82,53,999,0
BAYONNE,999,57,999,0
LISBON,30.1,59,999,0
