1862,8,21,Thursday,DWR_1862_08-17.jpg
NAIRN,29.87,55,52,0
ABERDEEN,29.91,56,53,0
LEITH,29.91,56,52,0
BERWICK,29.95,60,56,0
ARDROSSAN,29.88,56,54,0
PORTRUSH,30,54,51,0
GALWAY,30.02,57,55,0
VALENTIA,29.96,61,59,0
QUEENSTOWN,29.97,56,54,0
HOLYHEAD,29.95,58,56,0
LIVERPOOL,29.95,58,57,0.04
PEMBROKE,29.97,57,56,0.3
PENZANCE,30.02,61,60,0
PLYMOUTH,29.98,60,58,0
JERSEY,30,63,61,0
WEYMOUTH,29.98,62,59,0
PORTSMOUTH,29.94,61,58,0
DOVER,29.93,64,61,0
LONDON,29.96,61,60,0
YARMOUTH,29.95,62,60,0
SCARBOROUGH,29.94,60,58,0
SHIELDS,29.93,59,57,0
HELIGOLAND,29.98,64,63,0
HELDER,29.98,64,999,0
COPENHAGEN,30.11,66,999,0
BREST,29.98,55,999,0
BAYONNE,999,999,999,999
LISBON,999,999,999,999
