1862,7,25,Friday,DWR_1862_07-25.jpg
NAIRN,29.35,57,53,0
ABERDEEN,29.39,60,54,0.46
LEITH,29.84,58,55,0
BERWICK,29.42,57,52,0
ARDROSSAN,29.67,56,53,0.51
PORTRUSH,29.39,52,48,0
GALWAY,29.97,60,55,0
VALENTIA,30.07,59,55,0
QUEENSTOWN,30.05,60,56,0
HOLYHEAD,29.92,58,56,0
LIVERPOOL,29.89,61,54,0
PEMBROKE,30.04,59,56,0
PENZANCE,30.16,61,59,0
PLYMOUTH,30.11,62,58,0
JERSEY,30.21,63,59,0
WEYMOUTH,30.09,63,59,0
PORTSMOUTH,30.06,63,60,0
DOVER,29.97,60,59,0
LONDON,30.03,62,57,0.02
YARMOUTH,29.92,64,57,0
SCARBOROUGH,29.74,60,54,0
SHIELDS,29.63,60,52,0
HELIGOLAND,29.87,61,59,0
HELDER,29.95,61,999,0
COPENHAGEN,29.82,59,999,0
BREST,30.18,59,999,0
BAYONNE,999,74,999,0
LISBON,999,999,999,0
