1863,5,30,Saturday,DWR_1863_05-25.jpg
NAIRN,30.09,53,1,0.08
ABERDEEN,30.13,52,3,0.1
LEITH,30.11,55,2,0
ARDROSSAN,30.14,54,2,0.35
PORTRUSH,30.1,56,2,0
GALWAY,30.21,56,0,0
VALENTIA,30.29,59,2,0.18
QUEENSTOWN,30.24,64,2,0
HOLYHEAD,30.15,56,2,0
LIVERPOOL,30.2,57,1,0.13
PEMBROKE,30.26,57,1,0
PENZANCE,30.31,59,1,0
BREST,30.28,54,2,0
LORIENT,30.2,59,4,0
ROCHEFORT,30.16,53,4,0
PLYMOUTH,30.27,61,4,0
WEYMOUTH,30.25,60,3,0
PORTSMOUTH,30.2,61,3,0
KEW,30.22,61,3,0
LONDON,30.21,63,3,0
DOVER,30.22,62,2,0
YARMOUTH,30.17,62,4,0
SCARBOROUGH,30.15,57,3,0
SHIELDS,30.17,56,4,0
HELIGOLAND,29.99,52,1,0.15
COPENHAGEN,29.89,53,999,0
HELDER,30.12,54,999,0
LISBON,999,999,999,999
