1863,5,12,Tuesday,DWR_1863_05-9.jpg
NAIRN,29.22,45,1,0.28
ABERDEEN,29.24,51,3,0.35
LEITH,29.32,53,4,0.08
ARDROSSAN,29.39,50,1,0.86
PORTRUSH,29.4,48,2,0
GALWAY,29.73,50,0,1.1
VALENTIA,29.61,52,0,0.7
QUEENSTOWN,29.63,54,1,0.82
HOLYHEAD,29.53,53,3,1.05
LIVERPOOL,29.56,56,4,0.47
PEMBROKE,29.66,52,0,0.61
PENZANCE,29.79,55,0,0.45
BREST,29.92,52,0,0.04
LORIENT,29.96,54,4,0
ROCHEFORT,30.12,54,3,0
PLYMOUTH,29.76,53,1,0.75
WEYMOUTH,29.79,52,1,0.3
PORTSMOUTH,29.79,52,1,0.27
KEW,29.78,52,1,0
LONDON,29.78,53,2,0.16
DOVER,29.87,51,1,0
YARMOUTH,29.7,53,2,0.3
SCARBOROUGH,29.5,54,1,0
SHIELDS,29.45,55,4,1.5
HELIGOLAND,29.78,48,1,0
COPENHAGEN,29.82,47,999,0
HELDER,29.66,51,999,0
LISBON,999,999,999,0
