1863,7,23,Thursday,DWR_1863_07-19.jpg
NAIRN,29.7,50,3,0.09
ABERDEEN,29.69,53,6,0.15
LEITH,29.72,54,4,0
SHIELDS,29.74,55,4,0
SCARBOROUGH,29.74,53,2,1.25
GREENCASTLE,29.86,53,3,0.23
GALWAY,29.96,58,5,0
VALENTIA,29.98,59,3,0.08
QUEENSTOWN,29.96,58,2,0
LIVERPOOL,29.83,57,3,0.21
HOLYHEAD,29.82,55,3,0.55
PEMBROKE,29.91,57,3,0
PENZANCE,29.96,58,1,0
BREST,29.88,59,1,0.91
LORIENT,29.88,63,1,0.04
ROCHEFORT,999,999,999,999
PLYMOUTH,29.93,60,4,0
PORTSMOUTH,29.87,58,5,0
WEYMOUTH,29.92,59,4,0.1
LONDON,29.89,60,5,0.24
DOVER,29.91,999,999,0.15
YARMOUTH,29.85,58,4,1
HELDER,29.85,59,999,0
HELIGOLAND,29.76,56,3,0.22
