1863,11,4,Wednesday,DWR_1863_11-4.jpg
NAIRN,29.36,46,1,0.23
ABERDEEN,29.37,50,4,0.15
LEITH,29.44,51,3,0
SHIELDS,999,999,999,999
SCARBOROUGH,29.58,55,1,0.13
GREENCASTLE,29.6,51,2,0.15
GALWAY,29.78,58,0,0.65
VALENTIA,29.95,54,2,0.35
QUEENSTOWN,29.83,55,1,0.16
LIVERPOOL,29.73,57,3,0.26
HOLYHEAD,29.77,55,0,0.3
PEMBROKE,29.96,55,1,0.43
PENZANCE,30.17,54,0,0.65
BREST,30.32,57,2,0.32
LORIENT,30.24,55,999,0.2
ROCHEFORT,30.43,54,0,0
PLYMOUTH,30.12,55,1,0.6
WEYMOUTH,30.06,56,2,0.18
PORTSMOUTH,30,55,2,0.2
LONDON,29.91,57,2,0.07
DOVER,30,57,1,0.6
YARMOUTH,29.76,46,1,1.1
HELIGOLAND,29.53,51,0,0.25
