1862,7,11,Friday,DWR_1862_07-11.jpg
NAIRN,29.8,51,49,0.51
ABERDEEN,29.77,52,48,0
LEITH,29.8,58,52,0
BERWICK,29.81,56,50,0
ARDROSSAN,29.81,54,51,0
PORTRUSH,29.92,51,48,0
GALWAY,29.97,55,53,0
VALENTIA,29.94,54,53,0
QUEENSTOWN,29.99,56,54,0
MILFORD,?30.00,55,47,0.1
HOLYHEAD,29.92,54,51,0.2
LIVERPOOL,29.92,55,51,0.03
PENZANCE,30.04,58,57,0
PLYMOUTH,30,59,53,0
JERSEY,30.06,60,56,0
PORTLAND,29.99,58,53,0.06
PORTSMOUTH,29.95,57,52,0.1
DOVER,?29.91,62,53,0
LONDON,29.93,53,50,0.13
YARMOUTH,29.84,56,52,0
SCARBOROUGH,29.82,55,53,0.75
SHIELDS,29.83,55,51,0
HELIGOLAND,29.61,57,56,0
HELDER,29.74,55,999,0
COPENHAGEN,29.56,61,999,0
BREST,30.07,55,999,0
BAYONNE,999,67,999,0
LISBON,30.07,69,999,0
