1862,2,25,Tuesday,DWR_1862_02-24.jpg
NAIRN,30.38,37,35,0
ABERDEEN,30.45,40,39,0
LEITH,30.35,41,39,0
BERWICK,30.38,43,40,0.13
ARDROSSAN,30.31,42,40,0
PORTRUSH,30.19,40,39,0
GALWAY,30.08,41,40,0
SHIELDS,30.33,41,39,0
SCARBOROUGH,30.3,40,38,0.2
HELIGOLAND,30.39,31,999,0
LIVERPOOL,30.2,40,38,0
QUEENSTOWN,29.98,46,45,0
VALENTIA,29.93,45,44,0
YARMOUTH,30.25,40,38,0
LONDON,30.13,42,40,0
DOVER,30.14,41,40,0
PORTSMOUTH,30.03,40,37,0.07
PORTLAND,30.04,41,39,0
PLYMOUTH,29.95,42,40,0
PENZANCE,29.98,45,44,0
COPENHAGEN,30.38,24,999,0
HELDER,30.28,35,999,0
BREST,29.87,43,999,0
BAYONNE,29.9,50,999,0
LISBON,30.05,52,999,0
