1863,5,9,Saturday,DWR_1863_05-7.jpg
NAIRN,30.01,54,5,0
ABERDEEN,30.04,54,4,0
LEITH,30.08,56,5,0
ARDROSSAN,30.1,52,1,0
PORTRUSH,30.09,49,2,0
GALWAY,30.13,53,0,0.15
VALENTIA,30.17,52,1,0.08
QUEENSTOWN,30.15,55,1,0
HOLYHEAD,30.14,51,2,0
LIVERPOOL,30.17,51,4,0
PEMBROKE,30.18,51,2,0
PENZANCE,30.17,54,1,0
BREST,30.08,50,1,0
LORIENT,30,55,5,0
ROCHEFORT,30,57,2,0
PLYMOUTH,30.17,51,3,0
WEYMOUTH,30.11,54,4,0
PORTSMOUTH,30.1,54,5,0
KEW,30.13,50,3,0
LONDON,30.15,50,2,0
DOVER,30.11,54,2,0
YARMOUTH,30.17,53,3,0
SCARBOROUGH,30.17,51,3,0
SHIELDS,30.26,58,5,0
HELIGOLAND,30.32,48,3,0
COPENHAGEN,30.32,46,999,0
HELDER,30.23,53,999,0
LISBON,999,999,999,999
