1863,8,6,Thursday,DWR_1863_08-5.jpg
NAIRN,29.61,58,2,0.23
ABERDEEN,29.6,62,8,0
LEITH,29.66,63,5,0
SHIELDS,29.74,61,3,0.45
SCARBOROUGH,29.73,60,1,0
GREENCASTLE,29.69,58,2,0.3
GALWAY,29.73,62,0,0.5
VALENTIA,29.74,62,1,0.59
QUEENSTOWN,29.8,64,1,0.38
LIVERPOOL,29.76,63,2,0.4
HOLYHEAD,29.72,61,1,1.12
PEMBROKE,29.85,61,0,0.83
PENZANCE,29.98,64,3,0
BREST,30.08,64,2,0
LORIENT,30.08,66,4,0
ROCHEFORT,30.24,68,2,0
PLYMOUTH,29.96,67,3,0
WEYMOUTH,29.95,62,2,0
PORTSMOUTH,29.95,65,3,0
LONDON,29.92,63,2,0.1
DOVER,29.98,63,1,0.07
YARMOUTH,29.87,61,1,0
HELIGOLAND,29.88,61,1,0
