1863,8,20,Thursday,DWR_1863_08-17.jpg
NAIRN,29.98,49,3,0
ABERDEEN,29.88,51,5,0
LEITH,29.96,56,6,0
SHIELDS,29.95,53,5,0.3
SCARBOROUGH,29.89,54,3,0.52
GREENCASTLE,30.09,55,3,0.3
GALWAY,30.21,61,3,0
VALENTIA,30.25,59,2,999
QUEENSTOWN,999,60,2,0
LIVERPOOL,30.01,57,5,999
HOLYHEAD,30.05,56,4,0
PEMBROKE,30.14,56,4,0
PENZANCE,30.21,58,2,0.15
BREST,30.2,59,4,0.35
LORIENT,30.12,57,4,0.04
ROCHEFORT,30.16,61,6,0.12
PLYMOUTH,30.14,59,5,0.25
WEYMOUTH,30.05,59,1,0.09
PORTSMOUTH,29.97,58,5,0.29
LONDON,29.95,56,3,0.15
DOVER,29.94,61,3,1
YARMOUTH,29.88,56,2,0.35
HELIGOLAND,29.65,55,0,0.05
