1862,11,10,Monday,DWR_1862_11-8.jpg
NAIRN,28.82,30,999,0.5
ABERDEEN,28.88,35,2,0.12
LEITH,28.96,38,2,0
BERWICK,29,42,1,0
ARDROSSAN,28.9,39,3,0.67
PORTRUSH,29.06,39,2,0
GALWAY,29.26,35,0,1.1
VALENTIA,29.45,43,1,1.34
QUEENSTOWN,29.43,40,2,0.75
HOLYHEAD,29.18,41,3,0.5
LIVERPOOL,29.2,41,2,0.46
PEMBROKE,999,999,999,999
PENZANCE,29.54,46,4,0.47
PLYMOUTH,29.48,45,2,0.33
JERSEY,29.6,51,9,0.43
WEYMOUTH,29.43,48,4,0.17
PORTSMOUTH,29.43,49,9,0.25
DOVER,29.45,50,2,0.4
LONDON,29.39,45,2,0.13
YARMOUTH,29.36,37,2,1.25
SCARBOROUGH,29.14,41,2,0.11
SHIELDS,29.03,39,3,0
HELIGOLAND,29.43,48,0,0
HELDER,29.39,49,999,0
COPENHAGEN,29.6,44,999,0
BREST,29.47,48,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,51,999,0
LISBON,30.17,59,999,0
