1863,9,3,Thursday,DWR_1863_09-2.jpg
NAIRN,29.65,51,2,0.09
ABERDEEN,29.71,56,2,0
LEITH,29.67,57,4,0
SHIELDS,29.73,58,3,0
SCARBOROUGH,29.73,57,1,0
GREENCASTLE,29.57,55,3,0
GALWAY,29.52,57,2,0.08
VALENTIA,29.46,58,3,0.22
QUEENSTOWN,999,56,3,0
LIVERPOOL,29.67,55,2,0.19
HOLYHEAD,29.59,58,3,0
PEMBROKE,29.63,58,2,0.18
PENZANCE,29.69,58,2,0.1
BREST,29.73,57,1,0.79
LORIENT,29.69,61,3,0
ROCHEFORT,29.84,59,2,0
PLYMOUTH,29.69,59,3,0.58
WEYMOUTH,29.7,58,2,0.18
PORTSMOUTH,29.9,61,4,0.19
LONDON,29.77,58,4,0.14
DOVER,29.81,62,2,0
YARMOUTH,29.81,61,3,0
HELIGOLAND,29.95,60,2,0
