1863,1,21,Wednesday,DWR_1863_01-18.jpg
NAIRN,29.15,34,2,0
ABERDEEN,29.08,37,999,0.25
LEITH,29.26,37,3,0
ARDROSSAN,29.43,41,2,0.48
PORTRUSH,29.46,40,3,0
GALWAY,29.71,40,1,0.25
VALENTIA,999,999,999,999
QUEENSTOWN,29.82,44,1,0.32
HOLYHEAD,29.62,44,2,999
LIVERPOOL,29.53,41,2,0.09
PEMBROKE,29.75,45,3,0
PENZANCE,29.91,47,2,0.17
BREST,30.03,46,4,0.12
JERSEY,29.91,48,4,0.15
LORIENT,29.96,48,4,0
ROCHEFORT,30.1,45,1,0.04
PLYMOUTH,29.84,45,2,0
WEYMOUTH,29.76,46,3,0.15
PORTSMOUTH,29.71,41,2,0.15
KEW,29.63,40,3,0
LONDON,29.61,39,2,0
YARMOUTH,29.47,38,3,0
SCARBOROUGH,29.33,36,3,0.51
SHIELDS,29.32,36,3,0
HELIGOLAND,999,999,999,999
COPENHAGEN,999,999,999,999
HELDER,29.28,41,999,0
BAYONNE,999,49,999,0
OPORTO,999,999,999,999
LISBON,30.25,43,999,0
