1863,12,11,Friday,DWR_1863_12-9.jpg
NAIRN,29.84,38,2,0.17
ABERDEEN,29.89,40,0,0
LEITH,29.87,47,2,0.2
SHIELDS,29.98,51,3,0
SCARBOROUGH,30.02,47,2,0
GREENCASTLE,29.92,51,1,0.31
GALWAY,30.2,50,0,0.35
VALENTIA,30.32,50,1,0.09
CAPE CLEAR,999,47,1,0
QUEENSTOWN,30.22,51,2,0
LIVERPOOL,30.13,49,2,0.02
HOLYHEAD,30.12,50,0,0.18
PEMBROKE,30.3,51,2,0
PENZANCE,30.39,50,1,0
BREST,30.51,48,1,0.04
LORIENT,30.47,46,0,0.04
ROCHEFORT,30.51,45,0,0
PLYMOUTH,30.41,50,2,0
WEYMOUTH,30.36,50,3,0
PORTSMOUTH,30.34,49,2,0
LONDON,30.27,45,2,0
DOVER,30.28,48,2,0
YARMOUTH,30.16,46,1,0
HELIGOLAND,29.84,44,2,0
