1863,10,13,Tuesday,DWR_1863_10-10.jpg
NAIRN,29.39,52,2,0
ABERDEEN,29.4,53,0,0.35
LEITH,29.33,54,2,0
SHIELDS,29.35,55,1,0
SCARBOROUGH,29.36,54,1,0
GREENCASTLE,29.19,53,2,0.07
GALWAY,28.99,49,1,0.35
VALENTIA,28.81,52,2,999
QUEENSTOWN,28.81,55,1,0.47
LIVERPOOL,29.25,53,2,0.03
HOLYHEAD,29.16,52,1,0.15
PEMBROKE,29.1,53,1,0.53
PENZANCE,29.12,53,2,0.5
BREST,29.17,54,1,0.71
LORIENT,29.21,52,2,0.47
ROCHEFORT,29.45,52,0,0.16
PLYMOUTH,29.22,54,3,0.7
WEYMOUTH,29.22,55,2,0.31
PORTSMOUTH,29.28,56,2,0.18
LONDON,29.34,52,2,0.01
DOVER,29.42,57,2,0.25
YARMOUTH,29.42,57,2,0
HELIGOLAND,29.53,55,0,0
