1863,10,17,Saturday,DWR_1863_10-14.jpg
NAIRN,29.69,44,1,0
ABERDEEN,29.73,48,2,0
LEITH,29.76,50,2,999
SHIELDS,29.77,53,4,0.35
SCARBOROUGH,29.75,50,2,0
GREENCASTLE,29.82,49,1,0.3
GALWAY,29.92,53,1,0.5
VALENTIA,29.95,53,1,0.1
QUEENSTOWN,29.86,50,1,0
LIVERPOOL,29.9,52,5,0.48
HOLYHEAD,29.9,54,1,0.25
PEMBROKE,29.99,52,2,0.27
PENZANCE,30.08,53,1,0
BREST,30.08,54,0,0
LORIENT,30,55,0,999
ROCHEFORT,30.12,55,0,0.04
PLYMOUTH,30.03,56,2,0
WEYMOUTH,29.99,56,1,0.07
PORTSMOUTH,29.99,57,2,0.15
LONDON,29.96,55,3,0.01
DOVER,29.99,59,1,0.35
YARMOUTH,29.87,51,1,0
HELIGOLAND,29.93,54,1,0
