1862,5,15,Thursday,DWR_1862_05-14.jpg
NAIRN,30.14,48,45,0
ABERDEEN,30.18,48,45,0
LEITH,30.14,47,43,0
BERWICK,30.18,53,48,0
ARDROSSAN,30.1,50,47,0
PORTRUSH,30.11,50,49,0
GALWAY,30.08,?63,59,0
SHIELDS,30.14,50,46,0
SCARBOROUGH,30.11,50,47,0
HELIGOLAND,30,55,51,0
LIVERPOOL,30.11,48,43,0
QUEENSTOWN,30.08,56,55,0
VALENTIA,30.08,57,55,0
YARMOUTH,29.95,51,49,0
LONDON,29.93,48,47,0.23
DOVER,29.94,53,52,0.45
PORTSMOUTH,29.9,52,49,0
PORTLAND,29.95,51,47,0
PLYMOUTH,29.96,55,51,0
PENZANCE,30.04,55,53,0
JERSEY,29.93,51,49,0
COPENHAGEN,999,999,999,999
HELDER,29.92,55,999,0
BREST,29.95,999,999,0
BAYONNE,999,54,999,0
LISBON,29.9,59,999,0
