1863,10,21,Wednesday,DWR_1863_10-17.jpg
NAIRN,30.06,46,2,0
ABERDEEN,30.08,47,2,0
LEITH,30.13,50,3,0
SHIELDS,30.22,45,4,0
SCARBOROUGH,30.2,42,2,0
GREENCASTLE,999,48,1,0
GALWAY,30.12,45,1,0
VALENTIA,30.01,52,2,0.14
QUEENSTOWN,29.95,53,0,0.12
LIVERPOOL,30.19,45,1,0
HOLYHEAD,30.14,44,0,0
PEMBROKE,30.14,44,1,0
PENZANCE,30.16,56,1,0
BREST,30.16,55,1,0
LORIENT,30.12,54,0,0
ROCHEFORT,30.2,52,1,0
PLYMOUTH,30.17,55,2,0
WEYMOUTH,30.18,56,1,0.07
PORTSMOUTH,30.17,57,1,0.21
LONDON,30.21,53,1,0.07
DOVER,30.21,59,1,0
YARMOUTH,30.22,49,1,0
HELIGOLAND,30.21,50,1,0
