1863,10,30,Friday,DWR_1863_10-26.jpg
NAIRN,28.79,33,2,0.23
ABERDEEN,28.87,39,2,0.2
LEITH,28.96,42,3,0.24
SHIELDS,29.13,43,3,0
SCARBOROUGH,29.23,41,1,0
GREENCASTLE,999,40,1,0.4
GALWAY,29.06,42,2,999
VALENTIA,999,999,999,999
QUEENSTOWN,28.88,44,1,999
LIVERPOOL,29.09,44,2,0.34
HOLYHEAD,29.05,45,1,0.5
PEMBROKE,29.19,51,999,0.33
PENZANCE,29.35,51,0,0.27
BREST,29.49,54,1,999
LORIENT,29.61,55,0,0.16
ROCHEFORT,29.8,55,0,0.52
PLYMOUTH,29.37,51,1,0.17
WEYMOUTH,29.41,52,2,0.2
PORTSMOUTH,29.43,53,3,0.19
LONDON,29.45,49,2,0.16
DOVER,29.51,54,1,0.35
YARMOUTH,29.46,46,1,0
HELIGOLAND,29.5,50,4,0
