1863,6,8,Monday,DWR_1863_06-6.jpg
NAIRN,29.44,47,1,0.13
ABERDEEN,29.42,51,4,0
LEITH,29.42,50,2,0.19
ARDROSSAN,29.41,53,3,0
GREENCASTLE,29.41,52,4,0.22
GALWAY,29.48,54,2,0.6
VALENTIA,29.53,51,2,0.63
QUEENSTOWN,29.47,56,1,0.85
SHIELDS,29.42,51,3,?2.00
SCARBOROUGH,29.38,53,2,0.5
LIVERPOOL,29.4,54,1,0.53
HOLYHEAD,29.38,54,2,0
PEMBROKE,29.44,54,2,0.14
PENZANCE,29.56,57,2,0.25
BREST,29.69,54,3,0.12
LORIENT,29.69,57,4,0.12
ROCHEFORT,29.84,59,2,0.32
BAYONNE,29.84,64,999,0
PLYMOUTH,29.54,57,3,0.52
WEYMOUTH,29.55,54,3,0.18
PORTSMOUTH,29.5,56,4,0.14
LONDON,29.53,58,4,0.66
DOVER,29.54,60,4,0.08
YARMOUTH,29.49,56,3,0.45
HELDER,29.53,57,999,0
HELIGOLAND,29.52,53,0,0.46
COPENHAGEN,29.82,59,999,0
LISBON,30.06,66,999,0
