1863,3,4,Wednesday,DWR_1863_03-2.jpg
NAIRN,29.58,50,3,0
ABERDEEN,29.66,44,1,0
LEITH,29.63,49,3,0
ARDROSSAN,29.6,48,1,0
PORTRUSH,29.56,46,4,0
GALWAY,29.5,45,1,0.1
VALENTIA,29.45,47,1,0.24
QUEENSTOWN,29.54,49,1,0
HOLYHEAD,29.57,45,2,0
LIVERPOOL,29.66,46,3,0
PEMBROKE,29.62,48,1,0.11
PENZANCE,29.65,47,1,0.15
BREST,29.65,48,0,0.04
LORIENT,29.65,50,1,0
ROCHEFORT,29.73,46,2,0
PLYMOUTH,29.64,50,1,0
WEYMOUTH,29.68,49,2,0
PORTSMOUTH,29.66,47,3,0
KEW,29.73,42,2,0
LONDON,29.73,42,1,0
YARMOUTH,29.77,45,1,0
SCARBOROUGH,29.73,45,2,0
SHIELDS,29.74,45,3,0
HELIGOLAND,30.01,40,0,0
COPENHAGEN,30.06,37,999,0
HELDER,29.87,44,999,0
BAYONNE,999,51,999,0
LISBON,29.79,55,999,0
