1862,8,1,Friday,DWR_1862_08-0.jpg
NAIRN,29.76,58,54,0
ABERDEEN,29.83,58,56,0
LEITH,?29.73,63,59,0
BERWICK,29.81,60,57,0
ARDROSSAN,29.86,59,57,0.7
PORTRUSH,29.78,53,51,0
GALWAY,29.86,58,57,0
VALENTIA,29.95,64,60,0.51
QUEENSTOWN,29.92,59,56,0.48
HOLYHEAD,29.86,59,58,0.35
LIVERPOOL,29.91,63,59,0.78
PEMBROKE,30.05,62,59,0.39
PENZANCE,30.05,62,61,0
PLYMOUTH,30.02,64,60,0
JERSEY,30.11,65,60,0
WEYMOUTH,30.06,62,58,0
PORTSMOUTH,30.04,62,58,0
DOVER,30.07,62,60,0
LONDON,30.06,60,56,0
YARMOUTH,30,63,58,0
SCARBOROUGH,29.89,63,61,0.25
SHIELDS,29.83,62,59,0
HELIGOLAND,29.99,61,59,0.15
HELDER,30.03,62,999,0
COPENHAGEN,29.94,60,999,0
BREST,30.08,58,999,0
BAYONNE,999,68,999,0
LISBON,29.99,81,999,0
