1862,5,28,Wednesday,DWR_1862_05-25.jpg
NAIRN,29.76,51,46,0
ABERDEEN,29.77,52,46,0
LEITH,29.83,55,49,0
BERWICK,29.84,53,50,0
ARDROSSAN,29.83,52,49,0
PORTRUSH,29.88,54,52,0
GALWAY,29.91,55,52,0
SHIELDS,29.88,52,47,0
SCARBOROUGH,29.85,56,52,0
HELIGOLAND,29.8,53,52,0.15
LIVERPOOL,29.91,55,50,0.04
QUEENSTOWN,29.89,58,56,0
VALENTIA,29.86,56,54,0.1
YARMOUTH,29.92,58,56,0
LONDON,29.9,58,56,0.05
DOVER,29.94,59,57,0
PORTSMOUTH,29.93,56,50,0.2
PORTLAND,29.94,57,56,0.09
PLYMOUTH,29.92,58,56,0.13
PENZANCE,29.98,58,57,0.52
JERSEY,30.06,58,56,0
COPENHAGEN,29.65,54,999,0
HELDER,29.87,56,999,0
BREST,30.05,58,999,0
BAYONNE,999,65,999,0
LISBON,29.93,73,999,0
