1863,3,5,Thursday,DWR_1863_03-3.jpg
NAIRN,29.56,41,2,0
ABERDEEN,29.66,44,1,0
LEITH,29.59,45,2,0
ARDROSSAN,29.58,45,4,0
PORTRUSH,29.46,45,3,0
GALWAY,29.37,48,0,0.2
VALENTIA,29.41,47,1,0.32
QUEENSTOWN,29.42,51,1,0
HOLYHEAD,29.5,49,2,0
LIVERPOOL,29.64,42,2,0
PEMBROKE,29.59,47,1,0
PENZANCE,29.56,49,1,0
BREST,29.53,46,1,0
LORIENT,29.49,48,0,0
ROCHEFORT,29.57,43,2,0
PLYMOUTH,29.57,49,1,0
WEYMOUTH,29.65,49,2,0
PORTSMOUTH,29.64,48,2,0
KEW,29.7,37,0,0
LONDON,29.69,40,1,0
YARMOUTH,29.7,42,1,0
SCARBOROUGH,29.67,42,1,0
SHIELDS,29.68,45,4,0
HELIGOLAND,29.86,37,0,0
COPENHAGEN,29.83,37,999,0
HELDER,29.77,39,999,0
BAYONNE,999,49,999,0
LISBON,29.81,52,999,0
