1862,2,27,Thursday,DWR_1862_02-26.jpg
NAIRN,30.55,34,32,0
ABERDEEN,30.54,39,37,0
LEITH,30.49,41,39,0
BERWICK,30.51,42,39,0
ARDROSSAN,30.49,40,38,0
PORTRUSH,30.47,39,38,0
GALWAY,30.41,?38,36,0
SHIELDS,30.48,39,37,0
SCARBOROUGH,30.44,38,36,0
HELIGOLAND,30.48,29,999,0
LIVERPOOL,30.41,37,34,0
QUEENSTOWN,30.33,43,41,0
VALENTIA,30.26,?48,45,0
YARMOUTH,30.37,34,33,0
LONDON,30.29,37,35,0
DOVER,30.26,34,33,0
PORTSMOUTH,30.2,35,33,0
PORTLAND,30.22,36,34,0
PLYMOUTH,30.2,36,34,0
PENZANCE,30.26,35,33,0
COPENHAGEN,30.4,27,999,0
HELDER,30.4,29,999,0
BREST,30.04,40,999,0
BAYONNE,29.76,45,999,0
LISBON,29.66,54,999,0
