1862,5,16,Friday,DWR_1862_05-15.jpg
NAIRN,29.99,49,48,0
ABERDEEN,30,48,47,0.4
LEITH,29.92,50,49,0
BERWICK,29.96,55,52,0.28
ARDROSSAN,29.93,51,49,0
PORTRUSH,29.96,48,47,0
GALWAY,29.96,63,59,0
SHIELDS,29.94,51,50,0
SCARBOROUGH,29.92,50,49,0.35
HELIGOLAND,30,51,49,0
LIVERPOOL,29.94,53,51,0.03
QUEENSTOWN,29.97,57,55,0
VALENTIA,30.06,58,999,0
YARMOUTH,29.85,55,53,0.58
LONDON,29.87,53,52,0.46
DOVER,29.85,60,58,0.35
PORTSMOUTH,29.89,52,50,0.17
PORTLAND,29.93,55,52,0
PLYMOUTH,29.93,56,53,0
PENZANCE,30.02,54,53,0
JERSEY,29.99,56,53,0
COPENHAGEN,999,999,999,999
HELDER,29.89,57,999,0
BREST,999,52,999,0
BAYONNE,999,57,999,0
LISBON,30.11,63,999,0
