1862,10,18,Saturday,DWR_1862_10-15.jpg
NAIRN,29.05,43,40,0.25
ABERDEEN,29.12,44,41,0
LEITH,29.23,45,42,0
BERWICK,29.27,47,43,0
ARDROSSAN,29.28,45,43,0.57
PORTRUSH,29.45,45,43,0
GALWAY,29.53,45,43,0.35
VALENTIA,29.63,49,45,0
QUEENSTOWN,29.58,48,47,0
HOLYHEAD,29.49,49,46,0
LIVERPOOL,29.53,48,44,0.05
PEMBROKE,29.61,49,47,0.24
PENZANCE,29.6,51,50,0.7
PLYMOUTH,29.67,50,49,0.5
JERSEY,29.81,52,50,0.35
WEYMOUTH,29.67,53,51,0.2
PORTSMOUTH,29.69,53,50,0.2
DOVER,29.74,52,49,1.1
LONDON,29.7,49,46,0.07
YARMOUTH,29.67,45,42,0.8
SCARBOROUGH,29.47,45,43,0.43
SHIELDS,29.39,44,41,0
HELIGOLAND,29.51,50,46,0.45
HELDER,29.65,50,999,0
COPENHAGEN,29.41,45,999,0
BREST,29.7,54,999,0
BAYONNE,999,59,999,0
LISBON,30.32,63,999,0
