1863,1,9,Friday,DWR_1863_01-7.jpg
NAIRN,29.93,42,2,0.13
ABERDEEN,29.9,42,2,0.35
LEITH,29.83,42,2,0.18
ARDROSSAN,29.83,41,2,0
PORTRUSH,29.87,43,2,0
GALWAY,29.82,33,1,0
VALENTIA,29.72,41,3,0.13
QUEENSTOWN,29.71,42,0,0.5
HOLYHEAD,29.72,42,1,0.2
LIVERPOOL,29.75,39,1,0.02
PEMBROKE,29.69,39,2,0.45
PENZANCE,29.61,41,2,0
BREST,29.65,43,2,0.75
JERSEY,29.71,42,1,0.24
LORIENT,29.61,41,2,0.08
ROCHEFORT,29.72,37,2,0.24
PLYMOUTH,29.62,46,2,0.29
WEYMOUTH,29.67,44,2,0.51
PORTSMOUTH,29.72,43,1,0.16
KEW,29.74,29,999,0
LONDON,29.73,32,1,0
YARMOUTH,29.7,37,1,0
SCARBOROUGH,29.65,41,1,0
SHIELDS,29.58,43,2,0.25
HELIGOLAND,29.74,38,0,0
COPENHAGEN,29.96,36,999,0
HELDER,29.69,41,999,0
BAYONNE,999,42,999,0
OPORTO,999,999,999,999
LISBON,999,999,999,999
