1863,1,3,Saturday,DWR_1863_01-2.jpg
NAIRN,29.21,35,2,0.33
ABERDEEN,29.27,36,2,0
LEITH,29.35,39,2,0
ARDROSSAN,29.37,41,3,0.5
PORTRUSH,29.38,41,2,0
GALWAY,29.47,34,3,0
VALENTIA,29.51,39,1,0.51
QUEENSTOWN,29.53,39,1,0
HOLYHEAD,29.48,42,2,0
LIVERPOOL,29.52,39,1,0.11
PEMBROKE,29.57,41,1,0.18
PENZANCE,29.66,43,1,0.3
BREST,29.8,43,1,0.39
JERSEY,29.76,45,3,0.16
LORIENT,29.8,46,2,0.08
ROCHEFORT,29.91,43,2,0.35
PLYMOUTH,29.63,44,2,0.22
WEYMOUTH,29.64,44,3,0.13
PORTSMOUTH,29.65,43,2,0.12
KEW,29.66,37,1,0
LONDON,29.66,38,2,0
YARMOUTH,29.64,38,2,0
SCARBOROUGH,29.47,36,2,0
SHIELDS,29.47,38,3,0
HELIGOLAND,29.65,40,0,0
COPENHAGEN,29.6,40,999,0
HELDER,29.66,42,999,0
BAYONNE,999,45,999,0
OPORTO,999,999,999,999
LISBON,30.14,49,999,0
