1862,2,3,Monday,DWR_1862_02-1.jpg
NAIRN,29.74,44,41,0.42
ABERDEEN,29.81,41,40,0.5
LEITH,?29.95,48,45,999
BERWICK,29.92,47,44,0.17
ARDROSSAN,29.98,47,46,0.78
PORTRUSH,30.01,47,46,999
SHIELDS,29.99,46,45,999
GALWAY,30.13,48,47,999
SCARBOROUGH,30.01,48,46,999
LIVERPOOL,30.1,50,49,999
VALENTIA,30.26,?48,47,999
QUEENSTOWN,30.18,51,49,999
YARMOUTH,30.09,49,48,999
LONDON,30.15,50,49,999
DOVER,?30.22,49,48,999
PORTSMOUTH,30.22,49,48,999
PORTLAND,30.2,50,49,0.07
PLYMOUTH,30.18,51,50,999
PENZANCE,30.24,50,49,0.25
COPENHAGEN,29.89,30,999,999
HELDER,30.06,43,999,999
BREST,30.3,51,999,999
BAYONNE,30.42,39,999,999
LISBON,999,999,999,999
