1862,8,8,Friday,DWR_1862_08-6.jpg
NAIRN,29.4,55,53,0.22
ABERDEEN,29.33,55,53,0.39
LEITH,29.34,56,54,0
BERWICK,29.27,56,54,2.05
ARDROSSAN,29.36,56,54,0.52
PORTRUSH,29.29,53,49,0
GALWAY,29.58,59,57,0.2
VALENTIA,29.68,57,55,0.38
QUEENSTOWN,29.59,55,53,0
HOLYHEAD,29.38,55,53,0
LIVERPOOL,29.42,57,54,0.24
PEMBROKE,29.51,56,55,0
PENZANCE,29.64,58,57,0.62
PLYMOUTH,29.59,55,53,0.16
JERSEY,29.69,57,55,0
WEYMOUTH,29.55,59,56,0.12
PORTSMOUTH,29.52,60,55,0.15
DOVER,29.55,60,59,0.25
LONDON,29.52,59,55,0.17
YARMOUTH,29.44,59,54,0
SCARBOROUGH,29.29,56,54,0.67
SHIELDS,29.24,54,53,999
HELIGOLAND,29.55,58,56,0.25
HELDER,29.55,59,999,0
COPENHAGEN,29.63,65,999,0
BREST,29.73,54,999,0
BAYONNE,999,66,999,0
LISBON,30.11,72,999,0
