1863,2,11,Wednesday,DWR_1863_02-8.jpg
NAIRN,29.72,44,3,0
ABERDEEN,29.83,42,2,0
LEITH,29.87,47,2,0
ARDROSSAN,29.9,45,999,0.1
PORTRUSH,29.84,44,3,0
GALWAY,29.9,48,1,0
VALENTIA,29.98,49,1,0.1
QUEENSTOWN,30.04,49,1,0
HOLYHEAD,30.05,46,1,0.09
LIVERPOOL,30.12,46,3,0.01
PEMBROKE,30.18,47,3,0
PENZANCE,30.24,47,1,0
JERSEY,999,999,999,999
BREST,30.28,43,2,0
LORIENT,30.36,37,2,0
ROCHEFORT,999,999,999,999
PLYMOUTH,30.25,46,1,0
WEYMOUTH,30.27,47,4,0
PORTSMOUTH,30.26,46,3,0
KEW,30.28,43,1,0
LONDON,30.25,44,2,0
YARMOUTH,30.23,45,3,0
SCARBOROUGH,30.08,45,1,0
SHIELDS,30.04,47,3,0
HELIGOLAND,30.15,42,1,0.1
COPENHAGEN,29.88,39,999,0
HELDER,30.22,44,999,0
BAYONNE,999,37,999,0
OPORTO,999,999,999,999
LISBON,30.19,50,999,0
