1863,11,5,Thursday,DWR_1863_11-5.jpg
NAIRN,29.93,38,1,0.25
ABERDEEN,29.95,38,3,0.1
LEITH,30.03,44,999,0
SHIELDS,30.12,45,4,0
SCARBOROUGH,30.13,44,2,0
GREENCASTLE,30.1,43,1,0.18
GALWAY,30.14,48,1,0.53
VALENTIA,999,999,999,999
QUEENSTOWN,29.99,55,1,0.26
LIVERPOOL,30.17,48,1,0.15
HOLYHEAD,30.12,48,0,0.45
PEMBROKE,30.17,54,0,999
PENZANCE,30.36,54,1,0
BREST,30.47,55,3,0
LORIENT,30.43,54,2,0.04
ROCHEFORT,30.55,52,2,0
PLYMOUTH,30.29,55,1,0
WEYMOUTH,30.29,55,1,0
PORTSMOUTH,30.26,55,2,0
LONDON,30.21,53,2,0.18
DOVER,30.25,56,1,0
YARMOUTH,30.18,49,1,0
HELIGOLAND,29.94,49,1,0
