1863,5,26,Tuesday,DWR_1863_05-21.jpg
NAIRN,30.13,49,4,0
ABERDEEN,30.12,50,5,0
LEITH,30.11,52,4,0
ARDROSSAN,30.17,51,3,0
PORTRUSH,30.17,53,2,0
GALWAY,30.24,51,1,0
VALENTIA,30.25,54,5,0
QUEENSTOWN,30.21,54,1,0
HOLYHEAD,30.16,53,4,0
LIVERPOOL,30.21,52,7,0
PEMBROKE,30.19,51,3,0
PENZANCE,30.22,55,2,0
BREST,30.16,54,3,0
LORIENT,30.08,52,2,0
ROCHEFORT,30.08,52,2,0
PLYMOUTH,30.19,54,2,0
WEYMOUTH,30.18,50,3,0
PORTSMOUTH,30.15,52,6,0
KEW,30.18,50,7,0
LONDON,30.16,50,4,0
DOVER,30.13,53,1,0.08
YARMOUTH,30.13,52,5,0
SCARBOROUGH,30.16,51,2,0
SHIELDS,30.21,49,5,0
HELIGOLAND,30.03,50,1,0.13
COPENHAGEN,29.96,54,999,0
HELDER,30.08,51,999,0
LISBON,30.06,63,999,0
