1862,12,27,Saturday,DWR_1862_12-24.jpg
NAIRN,30.09,33,1,0
ABERDEEN,30.17,39,3,0
LEITH,30.19,43,3,0
BERWICK,30.26,38,1,0
ARDROSSAN,30.15,47,2,0.12
PORTRUSH,30.24,45,2,0
GALWAY,30.23,49,1,0
VALENTIA,30.36,50,1,0.1
QUEENSTOWN,30.48,51,1,0
HOLYHEAD,30.32,49,1,0
LIVERPOOL,30.35,44,2,0.04
PEMBROKE,30.44,49,0,0
PENZANCE,30.52,51,1,0.25
PLYMOUTH,30.49,50,1,0
JERSEY,30.57,49,1,0.09
WEYMOUTH,30.47,50,1,0.09
PORTSMOUTH,30.45,47,1,0
DOVER,?30.45,44,1,0
LONDON,30.44,44,1,0
YARMOUTH,30.4,38,1,0
SCARBOROUGH,30.34,37,2,0
SHIELDS,30.32,38,3,0
HELIGOLAND,30.1,37,1,0
HELDER,999,999,999,999
COPENHAGEN,999,999,999,999
BREST,30.61,48,1,0.12
LORIENT,30.55,50,1,0.08
ROCHEFORT,30.62,46,1,0
BAYONNE,999,999,999,999
LISBON,999,999,999,999
