1862,7,19,Saturday,DWR_1862_07-20.jpg
NAIRN,29.44,55,51,0
ABERDEEN,29.52,55,52,0
LEITH,29.47,63,59,0
BERWICK,29.62,56,53,0
ARDROSSAN,29.42,57,55,0.45
PORTRUSH,29.45,53,50,0
GALWAY,29.67,?58,55,0
VALENTIA,29.85,60,56,0.32
QUEENSTOWN,29.82,60,58,0.56
MILFORD,29.88,59,58,999
HOLYHEAD,29.68,57,56,0.15
LIVERPOOL,29.78,58,54,0
PENZANCE,30.03,59,58,0
PLYMOUTH,29.98,58,57,0.09
JERSEY,30.2,64,58,0
PORTLAND,30.06,60,57,0
PORTSMOUTH,30.06,61,56,0
DOVER,30.09,62,59,0
LONDON,30.06,60,55,0
YARMOUTH,30.01,61,55,0
SCARBOROUGH,29.83,56,53,0
SHIELDS,29.71,56,52,0
HELIGOLAND,30.1,58,56,0
HELDER,30.06,61,999,0
COPENHAGEN,30.08,61,999,0
BREST,30.17,59,999,0
BAYONNE,30.12,60,999,0
LISBON,30.18,75,999,0
