1863,2,6,Friday,DWR_1863_02-4.jpg
NAIRN,29.75,47,2,0
ABERDEEN,29.79,51,5,0
LEITH,29.9,51,2,0
ARDROSSAN,30.05,48,1,0
PORTRUSH,30.07,44,2,0
GALWAY,30.23,48,0,0.06
VALENTIA,30.34,49,0,0.1
QUEENSTOWN,30.34,49,1,0
HOLYHEAD,30.24,48,1,0
LIVERPOOL,30.25,50,2,0
PEMBROKE,30.37,49,1,0.1
PENZANCE,30.43,49,1,0
JERSEY,999,999,999,999
BREST,30.47,48,0,0.12
LORIENT,30.43,50,1,0.04
ROCHEFORT,30.51,45,0,0.08
PLYMOUTH,30.41,49,1,0
WEYMOUTH,30.38,49,0,0
PORTSMOUTH,30.33,48,2,0
KEW,30.33,49,2,0
LONDON,30.31,49,1,0
YARMOUTH,30.22,47,1,0
SCARBOROUGH,30.11,49,1,0
SHIELDS,30.11,52,3,0
HELIGOLAND,29.97,44,0,0
COPENHAGEN,29.65,41,999,0
HELDER,30.16,45,999,0
BAYONNE,999,44,999,0
OPORTO,999,999,999,999
LISBON,30.43,45,999,0
