1863,9,22,Tuesday,DWR_1863_09-18.jpg
NAIRN,28.78,47,1,0.25
ABERDEEN,28.74,47,2,0.2
LEITH,28.73,49,3,0.08
SHIELDS,28.77,49,3,0.32
SCARBOROUGH,28.81,47,2,0
GREENCASTLE,28.79,50,2,0.63
GALWAY,29.02,51,1,0.15
VALENTIA,29.21,54,4,0.33
QUEENSTOWN,999,53,1,0.13
LIVERPOOL,28.84,51,3,0.48
HOLYHEAD,28.85,51,2,0
PEMBROKE,29.02,52,3,0.09
PENZANCE,29.16,53,2,0.15
BREST,29.25,54,999,0.47
LORIENT,29.21,52,3,0.08
ROCHEFORT,29.41,54,0,0.47
PLYMOUTH,29.1,53,4,0.21
WEYMOUTH,29.04,53,3,0.1
PORTSMOUTH,29.01,53,3,0.3
LONDON,28.99,50,3,0.03
DOVER,29.01,999,999,0
YARMOUTH,28.94,50,2,0
HELIGOLAND,29,50,0,0.06
