1863,5,15,Friday,DWR_1863_05-12.jpg
NAIRN,29.36,51,4,0.17
ABERDEEN,29.44,54,7,0.17
LEITH,29.62,55,6,0.09
ARDROSSAN,29.53,50,2,999
PORTRUSH,29.49,49,2,0
GALWAY,29.54,55,7,1.5
VALENTIA,29.61,59,4,0.25
QUEENSTOWN,29.63,56,1,0.54
HOLYHEAD,29.64,53,1,0.41
LIVERPOOL,29.7,55,5,0.19
PEMBROKE,29.73,53,1,0.25
PENZANCE,29.83,53,0,0.55
BREST,29.92,55,0,0.08
LORIENT,29.96,55,1,0.16
ROCHEFORT,30.08,57,0,0
PLYMOUTH,29.82,55,1,0.25
WEYMOUTH,29.83,54,1,0.18
PORTSMOUTH,29.82,54,1,0.25
KEW,29.84,55,2,0
LONDON,29.83,55,1,0.07
DOVER,29.9,55,1,0
YARMOUTH,29.83,55,1,0.35
SCARBOROUGH,29.68,54,3,0
SHIELDS,29.63,54,5,0
HELIGOLAND,29.83,50,0,0.19
COPENHAGEN,29.89,57,999,0
HELDER,29.87,55,999,0
LISBON,30.15,64,999,0
